Germany,India,Italy,South Korea,New Zealand,Singapore,Somalia,Uganda,UK,USA
2059382,10581823,2390102,73115,2262,59127,4744,38085,3443354,24157924
2071615,10595639,2400598,73518,2267,59157,4744,38534,3476808,24334630
2100618,10610883,2414166,73918,2267,59197,4744,38628,3515800,24517866
2108895,10625428,2428221,74262,2276,59235,4744,38806,3553777,24711684
2125261,10639684,2441854,74692,2276,59250,4744,38935,3594098,24902437
2137691,10654533,2455185,75084,2283,59260,4754,39044,3627750,25073050
2147769,10667736,2466813,75521,2288,59308,4754,39149,3657861,25204112
2154656,10676838,2475372,75875,2290,59352,4754,39188,3680105,25356081
2164043,10689527,2485956,76429,2295,59366,4754,39261,3700272,25503621
2179679,10701193,2501147,76926,2299,59391,4754,39314,3725641,25657566
2194562,10720048,2515507,77395,2305,59425,4784,39424,3754452,25826176
2207393,10733130,2529070,77850,2303,59449,4784,39490,3783597,25992744
2224911,10746174,2541783,78205,2304,59507,4784,39533,3806997,26135056
2225659,10757610,2553032,78508,2304,59536,4784,39579,3828187,26247053
2232327,10766245,2560957,78844,2307,59565,4784,39606,3846855,26382255
2240017,10777284,2570608,79311,2308,59584,4784,39651,3863761,26497588
2252504,10790183,2583790,79762,2313,59602,4814,39685,3882976,26619229
2265536,10802591,2597446,80131,2315,59624,4814,39735,3903710,26743204
2276371,10814304,2611659,80524,2315,59649,4814,39789,3922914,26877601
2285003,10826363,2625098,80896,2320,59675,4854,39821,3941277,26981588
2291673,10838194,2636738,81185,2320,59699,4862,39848,3957181,27071236
2296323,10847304,2644707,81487,2322,59721,4862,39860,3971319,27161551
2302051,10858371,2655319,81930,2324,59732,4862,39883,3983760,27257183
2311297,10871294,2668266,82434,2324,59747,4935,39911,3996837,27352360
2321225,10880603,2683403,82837,2326,59759,5013,39942,4010380,27458120
2330422,10892746,2697296,83199,2328,59777,5075,39979,4025578,27557758
2336906,10904940,2710819,83525,2330,59786,5092,40019,4038933,27644880
2341744,10916589,2721879,83869,2336,59800,5183,40019,4049924,27709901
2346876,10925710,2729223,84325,2337,59809,5273,40055,4059700,27764087
2352766,10937320,2739591,84946,2340,59810,5373,40063,4070336,27826806
2362364,10950201,2751657,85567,2344,59821,5500,40102,4083096,27896924
